"","gap","gap_type","new_status","count","tph","total","Percent"
"1","100","S",0,1,1000,3000,33.3333333333333
"2","100","S",1,2,2000,3000,66.6666666666667
"3","103","S",1,1,1000,1000,100
"4","104","S",1,1,1000,1000,100
"5","105","S",1,1,1000,1000,100
"6","106","S",1,2,2000,2000,100
"7","108","S",1,1,1000,1000,100
"8","111","S",1,10,10000,10000,100
"9","112","S",1,3,3000,3000,100
"10","113","S",1,2,2000,2000,100
"11","115","S",0,1,1000,6000,16.6666666666667
"12","115","S",1,5,5000,6000,83.3333333333333
"13","119","S",1,1,1000,1000,100
"14","123","S",1,2,2000,2000,100
"15","125","S",1,1,1000,1000,100
"16","13","S",1,2,2000,2000,100
"17","133","S",1,2,2000,2000,100
"18","134","S",1,1,1000,1000,100
"19","140","S",1,1,1000,1000,100
"20","141","S",1,1,1000,1000,100
"21","150","S",1,1,1000,1000,100
"22","154","S",1,1,1000,1000,100
"23","155","S",1,2,2000,2000,100
"24","157","S",1,2,2000,2000,100
"25","161","S",1,1,1000,1000,100
"26","162","S",0,1,1000,2000,50
"27","162","S",1,1,1000,2000,50
"28","17","S",1,2,2000,2000,100
"29","175","S",1,9,9000,9000,100
"30","176","S",1,3,3000,3000,100
"31","177","S",1,2,2000,2000,100
"32","178","S",1,1,1000,1000,100
"33","180","S",1,3,3000,3000,100
"34","183","S",1,1,1000,1000,100
"35","184","S",1,1,1000,1000,100
"36","185","S",1,7,7000,7000,100
"37","192","S",1,1,1000,1000,100
"38","193","S",1,2,2000,2000,100
"39","194","S",1,2,2000,2000,100
"40","196","S",1,3,3000,3000,100
"41","197","S",1,1,1000,1000,100
"42","199","S",0,1,1000,3000,33.3333333333333
"43","199","S",1,2,2000,3000,66.6666666666667
"44","2","S",1,4,4000,4000,100
"45","20","S",1,3,3000,3000,100
"46","200","S",1,2,2000,2000,100
"47","201","S",1,1,1000,1000,100
"48","202","S",1,2,2000,2000,100
"49","204","S",0,1,1000,3000,33.3333333333333
"50","204","S",1,2,2000,3000,66.6666666666667
"51","205","S",1,3,3000,3000,100
"52","206","S",1,5,5000,5000,100
"53","209","S",1,1,1000,1000,100
"54","21","S",1,1,1000,1000,100
"55","210","S",1,2,2000,2000,100
"56","211","S",1,4,4000,4000,100
"57","213","S",1,2,2000,2000,100
"58","214","S",1,1,1000,1000,100
"59","216","S",1,3,3000,3000,100
"60","217","S",1,2,2000,2000,100
"61","218","S",1,1,1000,1000,100
"62","219","S",1,1,1000,1000,100
"63","220","S",1,6,6000,6000,100
"64","223","S",1,1,1000,1000,100
"65","225","S",1,2,2000,2000,100
"66","227","S",1,1,1000,1000,100
"67","228","S",1,1,1000,1000,100
"68","229","S",1,1,1000,1000,100
"69","230","S",1,1,1000,1000,100
"70","231","S",1,1,1000,1000,100
"71","232","S",1,2,2000,2000,100
"72","235","S",1,1,1000,1000,100
"73","236","S",1,1,1000,1000,100
"74","237","S",1,1,1000,1000,100
"75","31","S",1,1,1000,1000,100
"76","35","S",1,1,1000,1000,100
"77","41","S",1,1,1000,1000,100
"78","48","S",1,1,1000,1000,100
"79","5","S",0,1,1000,7000,14.2857142857143
"80","5","S",1,6,6000,7000,85.7142857142857
"81","52","S",1,2,2000,2000,100
"82","54","S",1,1,1000,1000,100
"83","55","S",1,1,1000,1000,100
"84","57","S",1,9,9000,9000,100
"85","61","S",1,1,1000,1000,100
"86","63","S",1,1,1000,1000,100
"87","65","S",1,1,1000,1000,100
"88","70","S",1,4,4000,4000,100
"89","75","S",0,1,1000,3000,33.3333333333333
"90","75","S",1,2,2000,3000,66.6666666666667
"91","76","S",1,10,10000,10000,100
"92","8","S",1,3,3000,3000,100
"93","88","S",0,1,1000,3000,33.3333333333333
"94","88","S",1,2,2000,3000,66.6666666666667
"95","9","S",1,1,1000,1000,100
"96","95","S",1,1,1000,1000,100
"97","98","S",1,5,5000,5000,100
