"","gap","plot","gap_type","count","tph","B_At","B_Pl","B_Sx","B_Ep","B_Fd","x_site_open","trans_tot","x_trans_tot","lai_4_ring","lai_5_ring","ms","ts","wd","gs","sb","fb","sl","rk","df","near_distance","azimuth1","azimuth_T","objectid","aspect_dem11","aspect_dem21","aspect_dem51","aspect_dem101","slope_dem_1m1","slope_dem2m1","slope_dem_5m1","slope_dem_10m1","zonal_unit","ss1","twi_10m","twi_5m","twi_2m","twi_1mfina","dem1","dem2","dem5","dem10","aspect_dem11T","aspect_dem21T","aspect_dem51T","aspect_dem101T","OBJECTID","Join_Count","TARGET_FID","Gap_area"
"1","100",40,"S",7,7000,NA,NA,NA,NA,21,28.94,12.55,42.87,1.16,1.15,60,0,5,10,0,20,0,0,5,0.66,315,1.70710678118655,40,182.134,170.39,160.912,156.325,11.0627,10.7237,11.1705,11.8022,"IDFxm/IDFdk3",1,6.77321,6.72087,4.19523,4.10376,833.418,833.252,833.503,833.252,0.000693526985162451,0.014033084584122,0.0549825762115151,0.0841621110275276,100,6,100,0.22129769178
"2","100",183,"S",1,1000,NA,NA,NA,NA,24,33.98,9.99,34.1,0.83,1.14,20,0,10,50,5,5,0,5,5,0.43,206.57,0.105611439629916,183,123.328,124.38,151.895,163.84,16.373,18.2953,16.6873,16.6251,"IDFxm/IDFdk3",4,8.70146,11.2057,4.45583,4.49636,844.402,844.171,844.118,844.171,0.450568795046643,0.435321049933923,0.117914240881887,0.0395117758212502,100,6,100,0.22129769178
"3","103",549,"S",1,1000,NA,NA,NA,NA,21,34.21,11.99,40.93,0.95,1.06,25,0,15,5,5,5,0,5,40,3.16,194.07,0.0300005611471499,549,170.862,164.842,168.562,178.244,51.2516,39.822,34.7589,32.4094,"IDFxm/IDFdk3",4,7.49076,5.77212,4.92838,4.9726,850.411,850.169,851.412,850.169,0.0126913048095016,0.0347915701122694,0.019860132275855,0.000469612629462435,103,3,103,0.13314830654
"4","104",511,"S",3,3000,NA,NA,NA,NA,3,35.86,13.83,47.24,0.77,0.97,15,0,15,10,30,5,0,0,25,1.36,116.57,0.55270915158129,511,255.013,253.744,244.14,215.034,37.173,36.3457,31.9819,26.5331,"IDFxm/IDFdk3",4,6.058,7.21936,6.80124,6.41377,847.75,847.891,848.275,847.891,0.74140012317563,0.720070451317872,0.563826327829414,0.181188467027291,104,1,104,0.2044184306
"5","105",391,"S",1,1000,15,NA,18,NA,NA,19.36,7.89,26.93,1.61,1.6,35,0,5,25,15,15,0,0,5,0.86,0,2,391,306.946,313.86,309.76,286.691,9.89564,9.79241,6.35379,4.09289,"IDFdk3",8,7.20186,7.77882,4.5954,4.42904,899.594,899.614,899.564,899.614,1.60106205974269,1.69289861976575,1.63957318045466,1.2872100618995,105,9,105,1.1319883915
"6","105",418,"N",9,9000,NA,NA,NA,NA,9,36.33,14.65,50.04,0.8,0.87,5,0,10,45,15,5,0,0,20,3.32,322,1.78801075360672,418,75.4585,89.7904,92.4688,102.98,21.4466,18.2493,11.2185,10.4017,"IDFdk3",8,9.6115,5.96944,2.90604,2.06268,903.568,903.524,903.673,903.524,1.25108117891979,1.00365820195285,0.956924643517543,0.775389078669297,105,9,105,1.1319883915
"7","105",570,"N",1,1000,3,NA,NA,NA,NA,14.91,6.9,23.55,1.79,2.27,0,0,10,15,15,10,0,0,50,1.7,214.99,0.180747860214654,570,104.121,103.11,143.712,161.838,5.99789,5.12433,2.69963,2.97828,"IDFdk3",8,7.07311,6.71484,3.9826,2.75607,900.765,900.73,900.814,900.73,0.756029527925321,0.773178705141462,0.193947744478153,0.0498210090589821,105,9,105,1.1319883915
"8","106",41,"S",7,7000,NA,NA,3,NA,9,28.95,13.02,44.48,1.14,1.28,20,0,5,35,25,5,0,0,10,0.81,9.46,1.98640058614185,41,327.173,274.654,254.238,220.804,5.35222,9.30383,7.64351,7.92159,"IDFdk3",8,7.43114,5.50031,3.87951,3.91835,903.366,903.392,903.283,903.392,1.84031123619439,1.0811383305314,0.728357979936404,0.243050563556717,106,2,106,0.16120763
"9","106",492,"S",3,3000,NA,NA,NA,NA,6,51.62,20.07,68.55,0.33,0.5,0,0,5,25,35,15,0,0,20,2.24,60.28,1.49576184783945,492,124.006,122.767,112.054,110.736,8.53147,9.00057,8.62536,7.50251,"IDFdk3",8,4.68719,1.91479,2.89593,3.12799,904.846,904.786,904.921,904.786,0.440720282983947,0.458776011149321,0.624519722892483,0.645937469213531,106,2,106,0.16120763
"10","108",254,"S",3,3000,NA,NA,NA,NA,12,33.52,13.19,45.03,1.06,1.01,5,5,15,20,20,15,0,0,20,0.88,338.12,1.92796639466677,254,343.313,339.6,347.793,343.323,16.4019,19.1736,19.4738,19.0654,"IDFdk3",8,4.84784,4.35189,3.6581,2.01829,797.437,797.738,797.094,797.738,1.95788767022399,1.93728198949189,1.97739006879716,1.95793777157507,108,1,108,0.10144518966
