,gap,plot,gap_type,spp,count,tph,vrp_baf3,n,baf,x_site_open,trans_tot,x_trans_tot,lai_4_ring,lai_5_ring,ms,ts,wd,gs,sb,fb,sl,rk,df,near_distance,azimuth1,azimuth_T,objectid,aspect_dem11,aspect_dem21,aspect_dem51,aspect_dem101,slope_dem_1m1,slope_dem2m1,slope_dem_5m1,slope_dem_10m1,zonal_unit,ss1,twi_10m,twi_5m,twi_2m,twi_1mfina,dem1,dem2,dem5,dem10,aspect_dem11T,aspect_dem21T,aspect_dem51T,aspect_dem101T,OBJECTID,Join_Count,TARGET_FID,Gap_area
1,100,183,S,Fd,1,1000,8 Fd,8,24,33.98,9.99,34.1,0.83,1.14,20,0,10,50,5,5,0,5,5,0.43,206.57,0.10561144,183,123.328,124.38,151.895,163.84,16.373,18.2953,16.6873,16.6251,IDFxm/IDFdk3,4,8.70146,11.2057,4.45583,4.49636,844.402,844.171,844.118,844.171,0.450568795,0.43532105,0.117914241,0.039511776,100,6,100,0.221297692
2,100,40,S,Fd,7,7000,7Fd,7,21,28.94,12.55,42.87,1.16,1.15,60,0,5,5,0,20,0,0,5,0.66,315,1.707106781,40,182.134,170.39,160.912,156.325,11.0627,10.7237,11.1705,11.8022,IDFxm/IDFdk3,1,6.77321,6.72087,4.19523,4.10376,833.418,833.252,833.503,833.252,0.000693527,0.014033085,0.054982576,0.084162111,100,6,100,0.221297692
3,100,88,S,Sx,2,2000,NA,NA,NA,24.22,8.65,29.55,1.33,1.36,25,0,5,30,10,15,0,10,5,3.68,2.6,1.99897057,88,262.68,256.019,212.309,191.394,26.7192,21.9072,15.3627,15.1454,IDFxm/IDFdk3,4,5.02815,4.83803,4.72659,4.81117,841.412,841.261,841.116,841.261,0.872589163,0.75839988,0.154822113,0.019708132,100,6,100,0.221297692
4,103,549,S,Fd,1,1000,7Fd,7,21,34.21,11.99,40.93,0.95,1.06,25,0,15,5,0,5,0,5,40,3.16,194.07,0.030000561,549,170.862,164.842,168.562,178.244,51.2516,39.822,34.7589,32.4094,IDFxm/IDFdk3,4,7.49076,5.77212,4.92838,4.9726,850.411,850.169,851.412,850.169,0.012691305,0.03479157,0.019860132,0.000469613,103,3,103,0.133148307
5,104,511,S,Fd,3,3000,1Fd,1,3,35.86,13.83,47.24,0.77,0.97,15,0,15,10,30,5,0,0,25,1.36,116.57,0.552709152,511,255.013,253.744,244.14,215.034,37.173,36.3457,31.9819,26.5331,IDFxm/IDFdk3,4,6.058,7.21936,6.80124,6.41377,847.75,847.891,848.275,847.891,0.741400123,0.720070451,0.563826328,0.181188467,104,1,104,0.204418431
6,105,107,N,At,2,2000,NA,NA,NA,17.29,7.77,26.53,1.94,1.87,40,0,5,30,5,15,0,0,5,0.62,86.63,1.058783688,107,178.272,162.114,131.202,125.069,6.12308,3.2765,3.83744,4.03984,IDFdk3,8,4.33094,3.64943,3.38193,4.31991,897.676,897.652,897.744,897.652,0.000454757,0.048330523,0.341284276,0.425437494,105,9,105,1.131988392
7,105,107,N,Ep,4,4000,NA,NA,NA,17.29,7.77,26.53,1.94,1.87,40,0,5,30,5,15,0,0,5,0.62,86.63,1.058783688,107,178.272,162.114,131.202,125.069,6.12308,3.2765,3.83744,4.03984,IDFdk3,8,4.33094,3.64943,3.38193,4.31991,897.676,897.652,897.744,897.652,0.000454757,0.048330523,0.341284276,0.425437494,105,9,105,1.131988392
8,105,107,N,Sx,7,7000,4Sx,4,12,17.29,7.77,26.53,1.94,1.87,40,0,5,30,5,15,0,0,5,0.62,86.63,1.058783688,107,178.272,162.114,131.202,125.069,6.12308,3.2765,3.83744,4.03984,IDFdk3,8,4.33094,3.64943,3.38193,4.31991,897.676,897.652,897.744,897.652,0.000454757,0.048330523,0.341284276,0.425437494,105,9,105,1.131988392
9,105,196,N,Sx,5,5000,3Sx,3,9,20.11,8.73,29.8,1.69,1.67,5,0,5,35,5,40,0,0,15,0.08,96.34,0.8895718,196,190.731,235.579,232.713,221.935,2.28219,2.22157,1.71074,1.55798,IDFdk3,8,5.28965,3.57291,2.75301,3.2468,898.877,898.853,898.9,898.853,0.017487803,0.434730615,0.394192103,0.256096548,105,9,105,1.131988392
10,105,267,N,Sx,1,1000,4Sx,4,12,21.14,8.95,30.56,1.47,1.6,5,0,5,45,10,5,0,0,30,1.88,338.17,1.928291252,267,312.478,304.516,322.571,330.789,19.9142,19.1107,13.9974,8.28624,IDFdk3,8,6.33428,3.48907,2.379,2.91072,898.822,899.104,898.858,899.104,1.675307064,1.566636354,1.794107098,1.872828399,105,9,105,1.131988392
11,105,391,S,Fd,1,1000,NA,NA,NA,19.36,7.89,26.93,1.61,1.6,35,0,5,25,15,15,0,0,5,0.86,0,2,391,306.946,313.86,309.76,286.691,9.89564,9.79241,6.35379,4.09289,IDFdk3,8,7.20186,7.77882,4.5954,4.42904,899.594,899.614,899.564,899.614,1.60106206,1.69289862,1.63957318,1.287210062,105,9,105,1.131988392
12,105,418,N,Fd,9,9000,3Fd,3,9,36.33,14.65,50.04,0.8,0.87,5,0,10,45,15,5,0,0,20,3.32,322,1.788010754,418,75.4585,89.7904,92.4688,102.98,21.4466,18.2493,11.2185,10.4017,IDFdk3,8,9.6115,5.96944,2.90604,2.06268,903.568,903.524,903.673,903.524,1.251081179,1.003658202,0.956924644,0.775389079,105,9,105,1.131988392
