,gap,plot,Height,Height growth,Diameter,Crown width,gap_type,B_At,B_Pl,B_Sx,B_Ep,B_Fd,x_site_open,trans_tot,x_trans_tot,lai_4_ring,lai_5_ring,ms,ts,wd,gs,sb,fb,sl,rk,df,near_distance,azimuth_T,slope1,slope2,slope5,slope10,twi10,twi5,twi2,twi1,dem1,dem2,dem5,dem10,aspect1,aspect2,aspect5,aspect10,Gap_area
1,100,40,17.41666667,1.333333333,NA,9,S,NA,NA,NA,NA,21,28.94,12.55,42.87,1.16,1.15,60,0,5,10,0,20,0,0,5,0.66,1.707106781,11.0627,10.7237,11.1705,11.8022,6.77321,6.72087,4.19523,4.10376,833.418,833.252,833.503,833.252,0.000693527,0.014033085,0.054982576,0.084162111,0.221297692
2,100,88,15,3.5,0.275,5.5,S,NA,NA,NA,NA,9,24.22,8.65,29.55,1.33,1.36,25,0,5,30,10,15,0,10,5,3.68,1.99897057,26.7192,21.9072,15.3627,15.1454,5.02815,4.83803,4.72659,4.81117,841.412,841.261,841.116,841.261,0.872589163,0.75839988,0.154822113,0.019708132,0.221297692
3,100,183,8,2,0.2,6,S,NA,NA,NA,NA,24,33.98,9.99,34.1,0.83,1.14,20,0,10,50,5,5,0,5,5,0.43,0.10561144,16.373,18.2953,16.6873,16.6251,8.70146,11.2057,4.45583,4.49636,844.402,844.171,844.118,844.171,0.450568795,0.43532105,0.117914241,0.039511776,0.221297692
4,103,549,5.5,1.5,0.12,NA,S,NA,NA,NA,NA,21,34.21,11.99,40.93,0.95,1.06,25,0,15,5,5,5,0,5,40,3.16,0.030000561,51.2516,39.822,34.7589,32.4094,7.49076,5.77212,4.92838,4.9726,850.411,850.169,851.412,850.169,0.012691305,0.03479157,0.019860132,0.000469613,0.133148307
5,104,511,16.16666667,4.666666667,0.286666667,6,S,NA,NA,NA,NA,3,35.86,13.83,47.24,0.77,0.97,15,0,15,10,30,5,0,0,25,1.36,0.552709152,37.173,36.3457,31.9819,26.5331,6.058,7.21936,6.80124,6.41377,847.75,847.891,848.275,847.891,0.741400123,0.720070451,0.563826328,0.181188467,0.204418431
6,105,391,4.5,NA,0.08,NA,S,15,NA,18,NA,NA,19.36,7.89,26.93,1.61,1.6,35,0,5,25,15,15,0,0,5,0.86,2,9.89564,9.79241,6.35379,4.09289,7.20186,7.77882,4.5954,4.42904,899.594,899.614,899.564,899.614,1.60106206,1.69289862,1.63957318,1.287210062,1.131988392
7,106,41,39.8125,2.9,NA,9.542857143,S,NA,NA,3,NA,9,28.95,13.02,44.48,1.14,1.28,20,0,5,35,25,5,0,0,10,0.81,1.986400586,5.35222,9.30383,7.64351,7.92159,7.43114,5.50031,3.87951,3.91835,903.366,903.392,903.283,903.392,1.840311236,1.081138331,0.72835798,0.243050564,0.16120763
8,106,492,47.75,2.833333333,0.2375,11.5,S,NA,NA,NA,NA,6,51.62,20.07,68.55,0.33,0.5,0,0,5,25,35,15,0,0,20,2.24,1.495761848,8.53147,9.00057,8.62536,7.50251,4.68719,1.91479,2.89593,3.12799,904.846,904.786,904.921,904.786,0.440720283,0.458776011,0.624519723,0.645937469,0.16120763
9,108,254,19.33333333,2,0.466666667,4.666666667,S,NA,NA,NA,NA,12,33.52,13.19,45.03,1.06,1.01,5,5,15,20,20,15,0,0,20,0.88,1.927966395,16.4019,19.1736,19.4738,19.0654,4.84784,4.35189,3.6581,2.01829,797.437,797.738,797.094,797.738,1.95788767,1.937281989,1.977390069,1.957937772,0.10144519
10,111,3,118,NA,0.773333333,NA,S,NA,NA,NA,NA,NA,45.99,17.13,58.5,0.42,0.65,0,0,20,40,20,5,10,5,0,0.27,1,5.49384,8.75177,11.4533,12.9777,4.35143,4.73571,4.54735,4.66501,788.541,788.642,788.41,788.642,1.986962679,1.992492882,1.985703087,1.999850217,1.504300554
11,111,19,100.25,7.666666667,1.17,35,S,NA,NA,NA,NA,12,42.71,16.74,57.18,0.63,0.71,5,5,75,0,5,0,5,5,0,0.93,0.723020739,31.2019,21.4253,19.3316,19.6768,8.03439,8.8184,3.03367,2.03709,802.651,802.799,802.183,802.799,1.904736371,1.925910806,1.977966884,1.991083592,1.504300554
12,111,89,7.5,1,0.1,NA,S,NA,NA,NA,NA,33,27.74,5.51,18.81,1.51,1.41,5,5,30,15,5,15,0,0,25,1.79,1.178802215,16.4542,12.0216,12.6585,14.7569,4.80353,3.34831,3.22157,2.44257,796.813,796.875,796.612,796.875,1.705154163,1.907506419,1.95829764,1.907396422,1.504300554
13,111,180,20.9516129,2.580645161,NA,7.758064516,S,NA,NA,NA,NA,15,32.49,16.37,55.92,1.05,1.05,25,5,5,25,10,25,0,0,5,1.14,0.923280972,18.222,19.7204,17.0994,17.5256,4.89252,4.0599,5.18047,4.07085,804.094,804.32,803.862,804.32,1.446572643,1.498548259,1.625814574,1.717968382,1.504300554
14,111,272,60.27272727,5.257142857,NA,10.02857143,S,NA,NA,NA,NA,6,46.34,21.55,73.59,0.53,0.63,0,5,15,50,15,10,0,0,5,1,1.910033635,29.4838,24.8301,20.6038,21.8695,4.51002,4.10386,3.49522,2.60465,796.688,796.705,795.798,796.705,1.901049015,1.945774552,1.94960179,1.94876136,1.504300554
15,111,314,12.85,1.6,0.175,4.1,S,NA,NA,12,NA,15,30.39,16.86,57.57,1.21,1.11,30,0,0,10,20,25,0,0,15,1.74,0.008761392,10.7233,12.5571,17.4573,18.3608,7.246,6.11913,7.86184,4.57745,797.729,797.883,797.272,797.883,1.950110965,1.995393321,1.9930387,1.989563095,1.504300554
16,111,393,14,2.333333333,0.21,5,S,NA,NA,NA,NA,21,41.93,15.99,54.6,0.82,0.71,10,0,35,20,10,15,0,0,10,1.04,1.411037093,13.8502,14.4764,15.5658,16.7466,4.7617,5.11374,3.21916,2.61599,804.687,804.799,804.383,804.799,1.888849262,1.903342779,1.95398947,1.937482597,1.504300554
17,111,394,41.21875,4.34375,NA,20.03125,S,NA,NA,NA,NA,9,45.87,20.93,71.46,0.62,0.65,25,10,5,15,5,15,10,0,15,3.69,1.164359008,28.1777,26.6471,23.2533,22.1315,4.14273,4.25642,3.82457,4.35975,799.648,799.776,798.763,799.776,1.999346504,1.999130116,1.998005135,1.993566026,1.504300554
18,111,413,66.3125,5.4375,1.2175,25.25,S,NA,NA,NA,NA,6,41.99,19.77,67.53,0.56,0.78,5,10,25,20,5,10,0,0,25,1,1.488468955,17.9168,24.8255,21.589,19.6768,7.48764,5.88933,3.51461,1.86327,801.09,801.427,801.302,801.427,1.952100577,1.987006128,1.989542613,1.991083592,1.504300554
19,111,425,65.875,5.166666667,0.53,10.33333333,S,NA,NA,NA,NA,NA,58.08,22.86,78.07,0.31,0.36,5,5,15,25,40,5,0,0,5,4.03,1.614560605,19.1347,19.1525,18.6833,19.0152,7.91346,5.37553,5.42654,5.01518,800.96,801.258,800.479,801.258,1.997838327,1.999759354,1.998040709,1.997339931,1.504300554
20,111,487,69,8.833333333,0.646666667,23.33333333,S,NA,NA,6,NA,9,54.93,19.97,68.2,0.41,0.43,5,0,10,30,25,25,0,0,5,0.69,1.312169112,27.5484,26.3984,23.9604,22.5344,11.5568,9.24089,7.99555,5.75366,796.739,797.097,796.85,797.097,1.936323326,1.936347838,1.926957467,1.939520584,1.504300554
21,112,29,98,7.666666667,1.096666667,29.83333333,S,NA,NA,NA,NA,3,47.3,21.36,72.95,0.5,0.58,5,5,5,20,35,15,0,0,15,1.19,0.538406206,25.0084,25.2687,20.7967,20.9691,7.37796,6.15292,3.96016,3.51715,807.051,807.108,806.389,807.108,1.931906621,1.961679125,1.90332032,1.897520207,0.787859616
22,112,144,78.5,4,0.62,9,S,NA,NA,NA,NA,6,36.05,18.45,63.01,0.79,0.97,5,0,5,65,0,25,0,0,0,2.11,2,20.758,23.5988,22.2199,23.5797,3.89721,3.66166,3.42458,3.51813,810.535,810.611,809.858,810.611,1.999816646,1.998094682,1.997091136,1.998537614,0.787859616
23,112,278,76,8.5,0.8475,17,S,NA,NA,3,NA,NA,38.86,15.15,51.75,0.72,0.92,0,0,0,75,10,15,0,0,0,1.61,1.999100767,12.9177,12.2784,13.6262,15.9123,8.59401,4.87104,2.78607,2.41478,802.113,802.301,802.216,802.301,1.99335269,1.984402013,1.969106196,1.939495475,0.787859616
24,112,421,17.8,2.4,0.262,7.4,S,NA,NA,3,NA,21,34.4,15.16,51.76,0.93,0.94,5,0,50,15,5,10,0,0,15,0.09,1,17.0946,18.54,16.3541,17.3464,7.76355,7.27557,3.31272,2.95493,799.08,799.389,799.221,799.389,1.98829504,1.921226149,1.883773797,1.920033637,0.787859616
25,113,14,9,1,0.17,3,S,NA,NA,NA,NA,21,58.93,21.95,74.97,0.31,0.39,0,0,40,30,15,5,0,0,10,3.53,0.10568952,21.1045,23.4004,23.0571,21.9207,4.70789,3.77798,2.76999,3.1519,831.023,831.405,830.333,831.405,1.960342364,1.944708795,1.931716585,1.937470448,0.242192883
26,113,347,39.78571429,3.142857143,0.641428571,14.78571429,S,NA,NA,NA,NA,18,50.13,19.63,67.05,0.54,0.57,10,0,10,20,30,10,20,0,0,3.92,0.858580412,24.8022,23.9011,21.8232,20.9321,7.28412,8.1938,2.89748,3.68275,831.286,831.517,831.501,831.517,1.862504837,1.82757077,1.865160173,1.875734306,0.242192883
27,115,86,67.16666667,6.666666667,NA,29.16666667,S,NA,NA,NA,NA,3,17.26,7.92,27.04,1.84,1.89,0,0,5,50,15,20,0,0,10,4.49,1.054078813,22.3453,20.0366,19.6588,18.9381,8.58733,10.7296,4.28838,5.18141,833.606,833.735,833.149,833.735,1.518325556,1.686986055,1.743284952,1.897366223,2.724607033
28,115,101,95.21428571,5.5,NA,17.35714286,S,NA,NA,NA,NA,NA,42.96,19.75,67.46,0.61,0.75,30,0,5,40,5,20,0,0,0,0.76,2,25.9644,24.2771,22.8765,23.4805,7.89227,8.70399,3.2814,7.73918,829.467,829.541,828.914,829.541,1.943697071,1.942349831,1.891868587,1.881954172,2.724607033
29,115,116,217.5,NA,1.05,NA,S,NA,NA,NA,NA,21,31.06,15.42,52.66,1.2,1.17,5,0,0,70,5,20,0,0,0,1.35,1.284015345,43.5156,42.7797,43.9736,41.0496,7.00768,7.8682,4.17233,4.35641,875.398,876.094,874.65,876.094,1.989239162,1.99364868,1.987297606,1.997544532,2.724607033
