OBJECTID,Join_Count,TARGET_FID,gap,Gap_area
2,11,2,2,1.42780691281
4,2,4,4,0.27748243551
5,18,5,5,1.97633327563
6,3,6,6,0.21163235603
7,1,7,7,0.11808389943
8,5,8,8,0.77892777768
9,1,9,9,0.12735993143
10,1,10,10,0.34503088937
11,2,11,11,0.14115995030
12,1,12,12,0.11295816724
13,3,13,13,0.14585728825
14,1,14,14,0.13841729062
17,7,17,17,0.99445670903
19,1,19,19,0.17359256107
20,13,20,20,1.53768542378
21,3,21,21,0.37481473106
22,1,22,22,0.10820543091
23,1,23,23,0.37186413291
26,2,26,26,0.16971286750
28,1,28,28,0.14763543270
29,1,29,29,0.22608233784
30,2,30,30,0.13964360249
31,7,31,31,0.62846481068
33,2,33,33,0.10049836000
34,2,34,34,0.11099636356
35,2,35,35,0.12290635750
36,1,36,36,0.10159677884
37,1,37,37,0.17612751596
38,1,38,38,0.11782248931
39,3,39,39,0.27708576037
41,7,41,41,0.40043797547
42,2,42,42,0.39190835940
43,7,43,43,0.74294726190
44,1,44,44,0.10415625000
46,2,46,46,0.17513837895
48,2,48,48,0.67029751776
49,6,49,49,0.42504737542
51,1,51,51,0.13978102078
52,4,52,52,0.30794144081
54,2,54,54,0.12172562617
55,2,55,55,0.19292078952
57,12,57,57,1.63200854446
58,2,58,58,0.11417956269
61,3,61,61,0.41545898169
63,1,63,63,0.15160000000
64,3,64,64,0.17766443520
65,4,65,65,0.59539918110
66,2,66,66,0.13623643204
67,3,67,67,0.22773808500
68,2,68,68,0.10209090396
70,4,70,70,0.17140294673
71,1,71,71,0.10659735197
73,1,73,73,0.15067074433
75,3,75,75,0.25368931101
76,16,76,76,1.23202352118
81,5,81,81,0.59272561997
83,1,83,83,0.20275899350
84,1,84,84,0.16966756650
85,4,85,85,0.89853289098
87,2,87,87,0.13289259750
88,4,88,88,0.27394324750
89,2,89,89,0.43259372500
90,2,90,90,0.50241905740
91,1,91,91,0.42240388186
92,1,92,92,0.12816206500
94,4,94,94,0.29212482112
95,4,95,95,0.47877917120
98,5,98,98,1.08874605706
100,6,100,100,0.22129769178
103,3,103,103,0.13314830654
104,1,104,104,0.20441843060
105,9,105,105,1.13198839150
106,2,106,106,0.16120763000
107,1,107,107,0.37666654548
108,1,108,108,0.10144518966
109,2,109,109,0.13833607088
111,15,111,111,1.50430055391
112,6,112,112,0.78785961582
113,2,113,113,0.24219288303
114,8,114,114,0.89793858976
115,16,115,115,2.72460703296
117,1,117,117,0.14139724435
118,5,118,118,0.26879192393
119,4,119,119,0.49337240056
121,1,121,121,0.12086631750
122,4,122,122,0.19734052750
123,3,123,123,0.49113778403
124,2,124,124,0.14744058250
125,2,125,125,0.31500844183
126,3,126,126,0.34906531711
127,2,127,127,0.19908600902
129,1,129,129,0.12168518871
131,1,131,131,0.13968037437
132,1,132,132,0.10271626133
133,3,133,133,0.51521203813
134,7,134,134,0.77971656599
135,1,135,135,0.22949349021
136,2,136,136,0.15811308492
137,1,137,137,0.12363351653
138,3,138,138,0.15586810792
139,2,139,139,0.36378235695
140,1,140,140,0.21578136829
141,1,141,141,0.20734087592
142,2,142,142,0.29273349582
143,1,143,143,0.11435168337
144,2,144,144,0.11371250000
145,1,145,145,0.18794539304
147,1,147,147,0.21157752890
148,3,148,148,0.18030161544
149,4,149,149,0.27612029048
150,2,150,150,0.12908325564
151,5,151,151,0.62287950524
154,1,154,154,0.12259470940
155,14,155,155,2.17501478872
156,2,156,156,0.19486846675
157,2,157,157,0.61845204822
160,3,160,160,0.44066181546
161,1,161,161,0.39890127302
162,2,162,162,0.17671021281
163,1,163,163,0.11959398903
165,1,165,165,0.25780543491
167,3,167,167,0.20504842581
169,2,169,169,0.11912200352
170,5,170,170,0.57737810791
171,1,171,171,0.12300360759
172,5,172,172,0.69365470725
173,6,173,173,0.51704514208
174,5,174,174,0.64108078827
175,16,175,175,2.03765897491
176,5,176,176,0.57314558506
177,3,177,177,0.40285552059
178,2,178,178,0.18208704919
179,1,179,179,0.10709996004
180,3,180,180,0.14975866374
182,1,182,182,0.18066830521
183,1,183,183,0.34906186896
184,1,184,184,0.11559442808
185,12,185,185,1.70969403103
187,3,187,187,0.32295368750
188,2,188,188,0.15049026356
189,3,189,189,0.19223738482
192,1,192,192,0.14812079500
193,2,193,193,0.35238102018
194,3,194,194,0.24711171750
196,8,196,196,0.82874398193
197,1,197,197,0.11050509645
199,4,199,199,0.79071898277
