"","OBJECTID","gap_number","plot_id","Fd","ZONAL_UNIT","SS1","SS1_","SS2","SS2_","SS3","SS3_","SS_name","SI"
"1",7,70,"70_ 7",0,"IDFxm",8,0.6,7,0.4,NA,NA,"Fd - Prickly rose - Sarsaparilla",15
"2",11,57,"57_ 11",3000,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"3",17,57,"57_ 17",1000,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"4",22,61,"61_ 22",3000,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"5",23,61,"61_ 23",0,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"6",24,57,"57_ 24",3000,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"7",39,67,"67_ 39",2000,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"8",42,30,"30_ 42",3000,"IDFxm",1,0.8,4,0.2,NA,NA,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"9",44,54,"54_ 44",3000,"IDFxm",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"10",46,122,"122_ 46",0,"IDFxm",2,0.6,4,0.3,1,0.1,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"11",55,57,"57_ 55",0,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"12",60,46,"46_ 60",1000,"IDFxm",1,0.8,4,0.2,NA,NA,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"13",74,33,"33_ 74",0,"IDFxm",1,0.8,4,0.2,NA,NA,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"14",82,121,"121_ 82",0,"IDFxm",2,0.6,4,0.3,1,0.1,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"15",90,122,"122_ 90",0,"IDFxm",2,0.6,4,0.3,1,0.1,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"16",103,46,"46_ 103",0,"IDFxm",1,0.8,4,0.2,NA,NA,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"17",119,55,"55_ 119",0,"IDFxm",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"18",133,11,"11_ 133",0,"IDFxm",1,0.8,3,0.1,4,0.1,"Fd - Juniper - Cladonia",13
"19",134,57,"57_ 134",0,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"20",137,34,"34_ 137",0,"IDFxm",1,0.8,4,0.2,NA,NA,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"21",140,129,"129_ 140",0,"IDFxm",2,0.5,4,0.5,NA,NA,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"22",148,70,"70_ 148",0,"IDFxm",8,0.6,7,0.4,NA,NA,"Fd - Prickly rose - Sarsaparilla",15
"23",151,68,"68_ 151",0,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"24",160,57,"57_ 160",4000,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"25",167,33,"33_ 167",0,"IDFxm",1,0.8,4,0.2,NA,NA,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"26",170,30,"30_ 170",26000,"IDFxm",1,0.8,4,0.2,NA,NA,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"27",175,122,"122_ 175",34000,"IDFxm",2,0.6,4,0.3,1,0.1,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"28",182,49,"49_ 182",0,"IDFxm",1,0.8,4,0.2,NA,NA,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
