"","OBJECTID","gap_number","plot_id","Fd","ZONAL_UNIT","SS1","SS1_","SS2","SS2_","SS3","SS3_","SS_name","SI"
"1",1,111,"111_ 1",0,"IDFdk3",8,0.7,1,0.2,7,0.1,"FdPl - Pinegrass - Feathermoss",17.1
"2",2,205,"205_ 2",7000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"3",3,111,"111_ 3",0,"IDFdk3",8,0.7,1,0.2,7,0.1,"FdPl - Pinegrass - Feathermoss",17.1
"4",4,91,"91_ 4",1000,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"5",6,209,"209_ 6",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"6",8,5,"5_ 8",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"7",9,20,"20_ 9",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"8",10,10,"10_ 10",1000,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"9",12,85,"85_ 12",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"10",13,172,"172_ 13",0,"IDFdk3",9,1,NA,NA,NA,NA,NA,NA
"11",14,113,"113_ 14",0,"IDFdk3",1,0.8,8,0.2,NA,NA,"SxwFd - Prickly rose - Sarsaparilla",21.9
"12",15,131,"131_ 15",0,"IDFdk3",1,0.9,4,0.1,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"13",16,8,"8_ 16",0,"IDFdk3",8,0.6,1,0.3,4,0.1,"FdPl - Pinegrass - Feathermoss",17.1
"14",18,5,"5_ 18",9000,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"15",19,111,"111_ 19",1000,"IDFdk3",8,0.7,1,0.2,7,0.1,"FdPl - Pinegrass - Feathermoss",17.1
"16",20,20,"20_ 20",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"17",21,175,"175_ 21",7000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"18",25,126,"126_ 25",0,"IDFdk3",1,0.7,4,0.3,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"19",26,176,"176_ 26",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"20",27,174,"174_ 27",0,"IDFdk3",5,0.8,8,0.2,NA,NA,"SxwFd - Prickly rose - Sarsaparilla",21.9
"21",28,193,"193_ 28",0,"IDFdk3",1,0.6,8,0.4,NA,NA,"SxwFd - Prickly rose - Sarsaparilla",21.9
"22",29,112,"112_ 29",0,"IDFdk3",1,0.8,8,0.2,NA,NA,"SxwFd - Prickly rose - Sarsaparilla",21.9
"23",30,94,"94_ 30",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"24",31,175,"175_ 31",3000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"25",32,89,"89_ 32",1000,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"26",33,211,"211_ 33",31000,"IDFdk3",8,1,NA,NA,NA,NA,NA,NA
"27",34,5,"5_ 34",1000,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"28",35,141,"141_ 35",2000,"IDFdk3",1,0.9,4,0.1,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"29",36,115,"115_ 36",3000,"IDFdk3",5,0.5,1,0.4,8,0.1,"FdPl - Pinegrass - Feathermoss",17.1
"30",37,17,"17_ 37",16000,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
