No.,Date,Gap_type,Gap_No ,Photo,Aspect,Slope,Ms,Ts,Wd,Gs,Sb,Fb,Sl,Rk,Df,% Sky Area    ,% Mask Area   ,% Cnpy Open   ,% Site Open   ,LAI 4Ring     ,LAI 5Ring     ,Units         ,RB            ,RD            ,Extra         ,Abv Dir       ,Abv Dif       ,Abv Tot       ,Abv Dir Msk   ,Abv Dif Msk   ,Abv Tot Msk   ,Trans Dir     ,Trans Dif     ,Trans Tot     ,% Trans Dir   ,% Trans Dif   ,% Trans Tot   ,Date          ,Time          
1,31/5/2019,N,203-245,3/343,26,7,10,0,10,35,10,35,0,0,0,99.87,0.13,28.27,28.27,1.31,1.39,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,7.44,6.36,13.8,50.83,43.41,47.12,Sep 01 2019   ,6:34:12 PM
2,31/5/2019,S,237-501,4/93,340,3,10,0,20,50,0,15,0,0,5,99.88,0.12,19.86,19.86,1.65,1.65,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,3.9,4.27,8.17,26.66,29.14,27.9,Sep 09 2019   ,7:23:35 PM
3,31/5/2019,N,237-542,5/94,16,2,50,0,35,0,0,10,0,0,5,99.87,0.13,18.7,18.7,1.71,1.76,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,1.86,3.74,5.61,12.72,25.58,19.15,Sep 09 2019   ,7:37:39 PM
4,31/5/2019,N,237-599,6/95,272,2,40,0,20,20,0,10,0,0,10,99.89,0.11,18.97,18.97,1.66,1.72,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,2.93,4.04,6.96,19.99,27.56,23.77,Sep 09 2019   ,7:44:51 PM
5,31/5/2019,N,216-322,7/96,342,2,5,5,5,10,5,35,0,0,35,99.88,0.12,15.26,15.26,1.86,2.04,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,2.19,3.15,5.34,14.94,21.53,18.23,Sep 09 2019   ,7:47:15 PM
6,31/5/2019,N,237-084,8/97,342,2,10,0,30,0,30,10,0,0,20,99.91,0.09,38.42,38.42,0.8,0.86,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,5.44,8.24,13.68,37.18,56.29,46.73,Sep 09 2019   ,7:48:56 PM
7,03/6/2019,S,216-124,9/98,348,2,5,0,5,60,10,20,0,0,0,99.89,0.11,24.18,24.17,1.41,1.4,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,4.01,5.23,9.23,27.36,35.7,31.53,Sep 09 2019   ,7:51:33 PM
8,03/6/2019,N,216-185,10/99,332,4,15,0,15,15,15,40,0,0,0,99.88,0.12,19.13,19.13,1.63,1.64,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,0.88,3.92,4.8,6.03,26.79,16.41,Sep 09 2019   ,8:24:34 PM
9,03/6/2019,N,216-128,11/100,358,5,10,0,5,55,5,25,0,0,0,99.89,0.11,27.28,27.28,1.18,1.37,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,2.59,6.04,8.63,17.7,41.23,29.46,Sep 09 2019   ,8:27:17 PM
10,03/6/2019,N,216-246,12/101,36,3,10,15,5,25,5,35,0,0,5,99.89,0.11,29.82,29.82,1.01,1.14,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,6.03,6.16,12.19,41.18,42.06,41.62,Sep 09 2019   ,8:29:34 PM
11,03/6/2019,N,216-053,13/103,340,3,10,0,15,45,15,15,0,0,0,99.89,0.11,21.88,21.88,1.55,1.47,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,4.96,4.5,9.46,33.86,30.75,32.3,Sep 09 2019   ,8:31:33 PM
12,03/6/2019,N,216-553,14/350,26,3,60,5,10,10,5,5,0,0,5,99.89,0.11,31.47,31.47,1.07,1.04,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,8.22,6.11,14.33,56.14,41.71,48.93,Sep 30 2019   ,3:30:52 PM
13,03/6/2019,S,216-379,15/200,342,0,15,5,30,5,5,5,5,0,30,99.88,0.12,28.84,28.84,1.2,1.19,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,7.59,5.68,13.27,51.83,38.79,45.31,Sep 08 2019   ,9:09:14 AM
14,03/6/2019,S,216-344,16/199,52,3,5,0,15,45,5,20,0,0,10,99.89,0.11,40.93,40.93,0.69,0.77,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,8.07,8.21,16.29,55.14,56.09,55.61,Sep 08 2019   ,9:07:23 AM
15,03/6/2019,S,216-157,17/201,18,4,5,5,35,20,0,10,0,0,25,99.89,0.11,30.73,30.73,1.12,1.1,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,7.89,6.01,13.9,53.86,41.06,47.46,Sep 08 2019   ,9:12:00 AM
16,03/6/2019,N,226-097,18/202,334,7,50,0,15,15,5,15,0,0,0,99.93,0.07,19.35,19.35,2.21,1.82,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,3.65,4.32,7.96,24.9,29.48,27.19,Sep 08 2019   ,9:14:37 AM
17,03/6/2019,N,226-265,19/203,110,10,40,0,20,0,15,10,0,0,15,99.89,0.11,21.71,21.71,1.63,1.57,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,4.73,4.62,9.35,32.34,31.54,31.94,Sep 08 2019   ,9:17:23 AM
18,03/6/2019,N,202-468,20/341,338,6,35,0,15,30,0,20,0,0,0,99.89,0.11,17.73,17.73,1.77,1.94,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,3.89,4.02,7.92,26.59,27.49,27.04,Sep 01 2019   ,6:24:18 PM
19,03/6/2019,N,202-530,21/342,334,2,50,0,10,10,0,10,0,0,20,99.9,0.1,26.44,26.44,1.21,1.3,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,6.97,5.61,12.58,47.59,38.33,42.96,Sep 01 2019   ,6:30:09 PM
20,04/6/2019,N,202-129,22/339,344,3,5,0,10,30,0,30,0,0,25,99.9,0.1,23.32,23.32,1.41,1.45,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,5.1,4.61,9.71,34.81,31.48,33.15,Sep 01 2019   ,6:15:33 PM
21,04/6/2019,N,202-437,23/340,338,4,25,0,10,40,0,20,0,0,5,99.9,0.1,20.51,20.51,1.66,1.58,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,5.51,4.23,9.74,37.63,28.92,33.28,Sep 01 2019   ,6:20:29 PM
22,04/6/2019,N,202-288,24/238,336,3,35,0,10,20,5,20,0,0,10,99.88,0.12,19.03,19.03,1.71,1.68,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,3.28,4.07,7.34,22.39,27.77,25.08,Sep 01 2019   ,6:11:30 PM
23,04/6/2019,N,202-131,25/337,26,4,15,0,15,40,0,25,0,0,5,99.89,0.11,23.43,23.43,1.46,1.45,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,4.05,4.97,9.02,27.65,33.95,30.8,Sep 01 2019   ,6:06:19 PM
24,04/6/2019,S,199-171,26/336,2,7,5,0,5,40,10,35,0,0,5,99.91,0.09,33.68,33.68,0.88,1.06,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,7.3,7.25,14.54,49.83,49.5,49.66,Sep 01 2019   ,6:03:30 PM
25,04/6/2019,S,206-548,27/332,2,7,15,0,5,10,5,25,0,0,40,99.89,0.11,24.53,24.53,1.39,1.32,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,5.89,4.79,10.68,40.21,32.72,36.46,Sep 01 2019   ,5:25:25 PM
26,04/6/2019,S,206-138,28/333,322,7,50,0,10,15,5,10,0,0,10,99.9,0.1,24.36,24.36,1.27,1.35,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,4.31,4.9,9.21,29.44,33.44,31.44,Sep 01 2019   ,5:29:32 PM
27,04/6/2019,S,206-524,29/334,330,8,25,0,5,55,5,5,0,0,5,99.89,0.11,36.03,36.03,0.96,0.9,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,9.62,7.25,16.87,65.68,49.53,57.6,Sep 01 2019   ,5:32:20 PM
28,04/6/2019,S,206-111,30/335,358,6,45,0,0,10,0,35,5,0,5,99.89,0.11,36.98,36.98,0.92,0.88,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,10.13,6.9,17.03,69.17,47.15,58.16,Sep 01 2019   ,5:40:13 PM
29,04/6/2019,S,220-479,31/325,310,4,5,0,15,25,5,20,0,0,30,99.89,0.11,46.84,46.84,0.57,0.59,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,10.58,9.28,19.86,72.25,63.39,67.82,Sep 05 2019   ,11:27:45 PM
30,04/6/2019,S,220-240,32/323,360,4,0,0,20,40,15,15,0,0,10,99.9,0.1,45.36,45.36,0.64,0.63,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,10.24,8.92,19.15,69.9,60.9,65.4,Sep 05 2019   ,11:21:42 PM
31,04/6/2019,S,220-411,33/324,34,4,40,0,15,5,5,20,5,0,10,99.89,0.11,44,44,0.71,0.67,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,9.85,7.96,17.81,67.3,54.36,60.83,Sep 05 2019   ,11:24:27 PM
32,04/6/2019,S,213-573,34/177,8,2,20,0,5,10,5,30,0,0,30,99.86,0.14,28.27,28.27,1.2,1.17,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,4.36,5.43,9.79,29.77,37.09,33.43,Sep 08 2019   ,1:03:34 AM
33,04/6/2019,S,238-208,35/176,32,3,40,0,15,15,5,15,0,0,10,99.89,0.11,24.68,24.67,1.43,1.33,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,4.52,4.77,9.29,30.88,32.57,31.72,Sep 08 2019   ,12:57:36 AM
34,05/6/2019,S,220-274,36/318,310,2,40,0,15,0,0,5,0,0,40,99.89,0.11,30.06,30.06,1.06,1.1,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,4.8,5.88,10.68,32.79,40.14,36.46,Sep 05 2019   ,11:02:50 PM
35,05/6/2019,S,220-436,37/319,146,1,5,0,5,50,10,20,0,0,10,99.91,0.09,49.22,49.22,0.48,0.57,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,9.93,9.91,19.83,67.78,67.66,67.72,Sep 05 2019   ,11:05:45 PM
36,05/6/2019,S,205-2,38/320,172,2,0,0,15,50,5,20,5,0,5,99.9,0.1,61.52,61.52,0.16,0.28,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,12.12,11.86,23.97,82.75,81,81.87,Sep 05 2019   ,11:07:50 PM
37,05/6/2019,S,205_106,39/230,352,4,20,0,25,15,0,25,0,0,15,99.89,0.11,46.11,46.11,0.79,0.65,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,10.9,8.25,19.15,74.41,56.36,65.39,Sep 08 2019   ,1:19:40 PM
38,05/6/2019,S,205-514,40/321,324,5,0,0,0,40,30,20,0,0,10,99.89,0.11,67.48,67.48,0.16,0.2,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,11.38,12.25,23.63,77.72,83.68,80.7,Sep 05 2019   ,11:10:31 PM
39,05/6/2019,S,230-276,41/229,348,5,5,0,20,30,10,25,0,0,10,99.87,0.13,51.19,51.19,0.43,0.49,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,7.87,10.12,17.99,53.77,69.11,61.44,Sep 08 2019   ,1:16:35 PM
40,05/6/2019,S,230-318,42/228,334,5,0,0,20,30,0,10,0,0,40,99.88,0.12,44.25,44.25,0.6,0.66,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,6.93,8.6,15.54,47.35,58.76,53.06,Sep 08 2019   ,1:12:48 PM
41,05/6/2019,S,225-370,43/227,6,7,35,0,5,15,5,25,0,0,15,99.91,0.09,34.08,34.08,0.96,0.95,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,3.26,6.48,9.75,22.29,44.27,33.28,Sep 08 2019   ,1:09:27 PM
42,05/6/2019,S,225-212,44/226,26,6,0,0,20,35,5,5,0,0,35,99.87,0.13,36.85,36.84,0.81,0.9,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,7.39,7.36,14.75,50.45,50.31,50.38,Sep 08 2019   ,1:06:31 PM
43,05/6/2019,S,225-188,45/347,22,7,0,0,10,40,10,35,0,0,5,99.87,0.13,51.89,51.88,0.43,0.46,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,9.78,10.32,20.1,66.81,70.51,68.66,Sep 01 2019   ,6:56:23 PM
44,05/6/2019,S,232-166,46/145,30,4,10,0,5,45,5,30,0,0,5,99.87,0.13,37.59,37.59,0.88,0.82,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,5.32,7.16,12.48,36.33,48.89,42.61,Sep 09 2019   ,11:11:29 AM
45,05/6/2019,S,232-559,47/146,18,5,0,0,10,45,5,30,0,0,10,99.89,0.11,35.7,35.7,0.93,0.9,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,8.87,7.02,15.9,60.59,47.97,54.28,Sep 09 2019   ,11:15:41 AM
46,05/6/2019,S,231-150,48/148,22,7,5,0,5,45,5,30,0,0,10,99.87,0.13,22.03,22.03,1.56,1.45,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,1.99,4.35,6.33,13.57,29.68,21.63,Sep 09 2019   ,11:25:44 AM
47,05/6/2019,S,231-567,49/147,14,7,0,0,0,40,5,50,0,0,5,99.88,0.12,36.39,36.39,0.95,0.92,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,7.46,7.63,15.09,50.98,52.12,51.55,Sep 09 2019   ,11:20:51 AM
48,05/6/2019,S,236-455,50/349,15,6,5,0,5,60,20,5,0,0,5,99.86,0.14,45.79,45.79,0.65,0.7,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,5.67,8.89,14.56,38.72,60.74,49.73,Sep 01 2019   ,7:11:38 PM
49,05/6/2019,S,236-209,51/348,353,6,0,5,20,15,40,15,0,0,5,99.9,0.1,52.73,52.73,0.44,0.46,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,9.72,10.47,20.19,66.39,71.52,68.95,Sep 01 2019   ,7:03:37 PM
50,05/6/2019,S,236-509,52/142,10,3,0,0,15,40,10,10,5,0,20,99.9,0.1,20.01,20.01,1.73,1.86,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,4.01,4.61,8.62,27.35,31.51,29.43,Sep 09 2019   ,11:03:29 AM
51,05/6/2019,N,239-383,53/143,351,2,0,5,5,25,30,15,0,0,20,99.91,0.09,13.37,13.37,2.35,2.34,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,1.32,3.03,4.35,9.01,20.69,14.85,Sep 09 2019   ,11:06:12 AM
52,05/6/2019,S,239-316,"54,55/144",15,3,55,0,10,5,5,15,0,0,10,99.89,0.11,18.47,18.47,1.89,1.77,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,2.3,4.04,6.35,15.73,27.62,21.68,Sep 09 2019   ,11:08:44 AM
53,06/6/2019,S,219-507,56/223,8,8,55,0,15,5,0,10,0,0,15,99.91,0.09,37.52,37.52,0.89,0.9,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,6.99,7.02,14.01,47.74,47.96,47.85,Sep 08 2019   ,12:56:54 PM
54,06/6/2019,S,220-96,58/328,335,3,5,0,25,15,20,20,0,0,15,99.88,0.12,43.72,43.72,0.69,0.69,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,9.85,8.64,18.48,67.24,59,63.12,Sep 05 2019   ,11:38:08 PM
55,06/6/2019,S,220-378,57/326,34,3,20,5,5,45,5,15,0,0,5,99.88,0.12,27.58,27.58,1.22,1.24,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,5.84,5.57,11.42,39.89,38.08,38.99,Sep 05 2019   ,11:29:39 PM
56,06/6/2019,S,206-319,59/327,18,2,10,0,5,50,5,25,0,0,5,99.87,0.13,24.49,24.49,1.23,1.4,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,5.89,5.13,11.01,40.19,35.02,37.6,Sep 05 2019   ,11:34:31 PM
57,06/6/2019,N,206-72,60/331,24,3,50,0,5,10,0,10,10,10,5,99.9,0.1,23.82,23.82,1.56,1.45,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,4.31,5.2,9.51,29.44,35.49,32.46,Sep 01 2019   ,5:21:24 PM
58,06/6/2019,S,199-583,61/330,335,9,0,0,0,55,15,25,0,0,5,99.88,0.12,36.62,36.62,0.91,0.89,Mols m-2 d-1  ,1,1,294.74,14.64,14.64,29.29,14.64,14.64,29.28,7.47,7.6,15.07,51.03,51.89,51.46,Sep 01 2019   ,4:43:46 PM
