No.,Date,Gap_type,Gap_ No. ,VRP_BAF3,SPP,n
1,31/5/2019,N,203-245,1Ep,Ep,1
1,31/5/2019,N,203-245,2Sx,Sx,2
2,31/5/2019,S,237-501,2 Fd,Fd,2
3,31/5/2019,N,237-542,1Sx,Sx,1
3,31/5/2019,N,237-542,3Fd,Fd,3
4,31/5/2019,N,237-599,1Fd,Fd,1
5,31/5/2019,N,216-322,1Fd,Fd,1
6,31/5/2019,N,237-084,1Sx,Sx,1
6,31/5/2019,N,237-084,1Fd,Fd,1
7,3/6/2019,S,216-124,0,,
8,3/6/2019,N,216-185,4Fd,Fd,4
9,3/6/2019,N,216-128,5Fd,Fd,5
9,3/6/2019,N,216-128,1Sx,Sx,1
10,3/6/2019,N,216-246,4Fd,Fd,4
11,3/6/2019,N,216-053,3Fd,Fd,3
11,3/6/2019,N,216-053,2Sx,Sx,2
12,3/6/2019,N,216-553,3 Fd,Fd,3
13,3/6/2019,S,216-379,3Fd,Fd,3
14,3/6/2019,S,216-344,1Fd,Fd,1
15,3/6/2019,S,216-157,1Ep,Ep,1
15,3/6/2019,S,216-157,2Fd,Fd,2
16,3/6/2019,N,226-097,1Ep,Ep,1
16,3/6/2019,N,226-097,3Fd,Fd,3
17,3/6/2019,N,226-265,2Sx,Sx,2
17,3/6/2019,N,226-265,2Fd,Fd,2
18,3/6/2019,N,202-468,5Fd,Fd,5
19,3/6/2019,N,202-530,4Fd,Fd,4
20,4/6/2019,N,202-129,4Fd,Fd,4
20,4/6/2019,N,202-129,2Ep,Ep,2
21,4/6/2019,N,202-437,5Fd,Fd,5
21,4/6/2019,N,202-437,1Sx,Sx,1
21,4/6/2019,N,202-437,1Ep,Ep,1
22,4/6/2019,N,202-288,1Sx,Sx,1
22,4/6/2019,N,202-288,6Fd,Fd,6
23,4/6/2019,N,202-131,4Fd,Fd,4
24,4/6/2019,S,199-171,2Fd,Fd,2
25,4/6/2019,S,206-548,7Fd,Fd,7
26,4/6/2019,S,206-138,4Fd,Fd,4
26,4/6/2019,S,206-138,1Ep,Ep,1
26,4/6/2019,S,206-138,2Sx,Sx,2
27,4/6/2019,S,206-524,2Fd,Fd,2
28,4/6/2019,S,206-111,4Fd,Fd,4
28,4/6/2019,S,206-111,3Sx,Sx,3
29,4/6/2019,S,220-479,1Fd,Fd,1
30,4/6/2019,S,220-240,1Fd,Fd,1
