gap,plot_id,gap_type,Fd,ZONAL_UNIT,SS1,SS1_,SS2,SS2_,SS3,SS3_,SS_name,SI,tphg,mean_density,sem_density
111,111_ 1,S,0,IDFdk3,8,0.7,1,0.2,7,0.1,SxwFd - Prickly rose - Sarsaparilla,21.9,70000,5000,2277.457615
205,205_ 2,S,7000,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,16000,2000,1210.076739
111,111_ 3,S,0,IDFdk3,8,0.7,1,0.2,7,0.1,SxwFd - Prickly rose - Sarsaparilla,21.9,70000,5000,2277.457615
91,91_ 4,S,1000,IDFdk3,1,0.6,4,0.4,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,0,0,NA
209,209_ 6,S,0,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,6000,6000,NA
5,5_ 8,S,0,IDFdk3,1,0.6,4,0.4,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,20000,1111.111111,434.5299383
20,20_ 9,S,0,IDFdk3,1,0.6,4,0.4,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,3000,230.7692308,121.6260639
10,10_ 10,S,1000,IDFdk3,1,0.6,4,0.4,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,0,0,NA
85,85_ 12,S,0,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,38000,9500,4645.786622
172,172_ 13,S,0,IDFdk3,9,1,NA,NA,NA,NA,Sxw - Horsetail - Glow moss,NA,0,0,0
113,113_ 14,S,0,IDFdk3,1,0.8,8,0.2,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,8000,4000,3000
131,131_ 15,N,0,IDFdk3,1,0.9,4,0.1,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,0,0,NA
8,8_ 16,N,0,IDFdk3,8,0.6,1,0.3,4,0.1,SxwFd - Prickly rose - Sarsaparilla,21.9,3000,600,244.9489743
5,5_ 18,N,9000,IDFdk3,1,0.6,4,0.4,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,20000,1111.111111,434.5299383
111,111_ 19,N,1000,IDFdk3,8,0.7,1,0.2,7,0.1,SxwFd - Prickly rose - Sarsaparilla,21.9,70000,5000,2277.457615
20,20_ 20,N,0,IDFdk3,1,0.6,4,0.4,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,3000,230.7692308,121.6260639
175,175_ 21,S,7000,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,36000,2769.230769,1172.078179
126,126_ 25,N,0,IDFdk3,1,0.7,4,0.3,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,0,0,0
176,176_ 26,N,0,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,25000,5000,2280.35085
174,174_ 27,N,0,IDFdk3,5,0.8,8,0.2,NA,NA,Fd - Feathermoss - Step moss,15,8000,1600,927.3618495
193,193_ 28,S,0,IDFdk3,1,0.6,8,0.4,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,13000,6500,2500
112,112_ 29,S,0,IDFdk3,1,0.8,8,0.2,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,9000,1800,800
94,94_ 30,N,0,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,0,0,0
175,175_ 31,S,3000,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,36000,2769.230769,1172.078179
89,89_ 32,N,1000,IDFdk3,1,0.6,4,0.4,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,0,0,0
211,211_ 33,N,31000,IDFdk3,8,1,NA,NA,NA,NA,SxwFd - Prickly rose - Sarsaparilla,21.9,62000,15500,4444.097209
5,5_ 34,S,1000,IDFdk3,1,0.6,4,0.4,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,20000,1111.111111,434.5299383
141,141_ 35,S,2000,IDFdk3,1,0.9,4,0.1,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,5000,5000,NA
115,115_ 36,S,3000,IDFdk3,5,0.5,1,0.4,8,0.1,Fd - Feathermoss - Step moss,15,60000,5000,2549.509757
17,17_ 37,S,16000,IDFdk3,1,0.6,4,0.4,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,2000,285.7142857,184.4277784
106,106_ 41,S,2000,IDFdk3,8,0.6,7,0.2,1,0.2,SxwFd - Prickly rose - Sarsaparilla,21.9,10000,5000,2000
214,214_ 43,S,0,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,3000,3000,NA
175,175_ 45,S,0,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,36000,2769.230769,1172.078179
76,76_ 47,S,2000,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,68000,5230.769231,1925.383232
204,204_ 48,S,0,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,10000,5000,4000
125,125_ 49,S,4000,IDFdk3,1,0.7,4,0.3,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,8000,4000,4000
173,173_ 51,S,7000,IDFdk3,7,0.8,5,0.1,8,0.1,SxwFd - Prickly rose - Sedge,20.2,10000,2500,957.4271078
94,94_ 52,S,0,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,0,0,0
216,216_ 53,S,0,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,68000,7555.555556,3555.555556
114,114_ 54,N,0,IDFdk3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
114,114_ 56,S,0,IDFdk3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
119,119_ 57,S,0,IDFdk3,NA,NA,NA,NA,NA,NA,NA,NA,1000,250,250
2,2_ 59,S,0,IDFdk3,1,0.6,4,0.4,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,6000,545.4545455,247.2994638
76,76_ 61,S,6000,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,68000,5230.769231,1925.383232
200,200_ 62,S,7000,IDFdk3,1,0.8,8,0.2,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,12000,6000,3000
155,155_ 63,S,0,IDFdk3,8,0.8,1,0.2,NA,NA,SxwFd - Prickly rose - Sarsaparilla,21.9,55000,3928.571429,1427.609566
109,109_ 64,S,0,IDFdk3,8,0.7,1,0.2,7,0.1,SxwFd - Prickly rose - Sarsaparilla,21.9,0,0,0
185,185_ 66,S,0,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,54000,6750,1687.665336
170,170_ 67,S,1000,IDFdk3,5,1,NA,NA,NA,NA,Fd - Feathermoss - Step moss,15,0,0,0
173,173_ 68,S,0,IDFdk3,5,0.8,8,0.2,NA,NA,Fd - Feathermoss - Step moss,15,10000,2500,957.4271078
211,211_ 69,S,1000,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,62000,15500,4444.097209
138,138_ 70,S,32000,IDFdk3,1,0.9,4,0.1,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,0,0,0
185,185_ 71,S,0,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,54000,6750,1687.665336
206,206_ 72,S,4000,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,35000,5833.333333,2427.847698
31,31_ 75,S,2000,IDFdk3,1,0.6,4,0.4,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,5000,714.2857143,714.2857143
127,127_ 76,S,0,IDFdk3,1,0.7,4,0.3,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,0,0,0
13,13_ 77,S,0,IDFdk3,1,0.6,4,0.4,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,3000,1000,577.3502692
5,5_ 78,S,0,IDFdk3,1,0.6,4,0.4,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,20000,1111.111111,434.5299383
6,6_ 79,S,1000,IDFdk3,8,0.6,1,0.3,4,0.1,SxwFd - Prickly rose - Sarsaparilla,21.9,0,0,0
81,81_ 80,S,0,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,0,0,0
8,8_ 81,S,5000,IDFdk3,8,0.6,1,0.3,4,0.1,SxwFd - Prickly rose - Sarsaparilla,21.9,3000,600,244.9489743
149,149_ 83,S,0,IDFdk3,1,0.6,4,0.4,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,0,0,0
237,237_ 84,N,1000,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,3000,1000,577.3502692
165,165_ 85,S,0,IDFdk3,10,1,NA,NA,NA,NA,NA,NA,0,0,NA
115,115_ 86,S,0,IDFdk3,1,0.8,8,0.2,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,60000,5000,2549.509757
134,134_ 87,S,0,IDFdk3,1,0.9,4,0.1,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,3000,428.5714286,428.5714286
111,111_ 89,S,0,IDFdk3,8,0.7,1,0.2,7,0.1,SxwFd - Prickly rose - Sarsaparilla,21.9,70000,5000,2277.457615
5,5_ 91,S,0,IDFdk3,1,0.6,4,0.4,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,20000,1111.111111,434.5299383
138,138_ 92,S,2000,IDFdk3,1,0.9,4,0.1,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,0,0,0
5,5_ 93,N,0,IDFdk3,1,0.6,4,0.4,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,20000,1111.111111,434.5299383
126,126_ 94,S,2000,IDFdk3,1,0.7,4,0.3,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,0,0,0
162,162_ 95,N,0,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,6000,3000,3000
220,220_ 96,S,1000,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,33000,4125,2239.559108
226,226_ 97,N,8000,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,12000,6000,3000
114,114_ 98,S,0,IDFdk3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
109,109_ 99,S,0,IDFdk3,1,0.9,5,0.1,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,0,0,0
115,115_ 101,N,0,IDFdk3,1,0.8,8,0.2,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,60000,5000,2549.509757
149,149_ 102,N,0,IDFdk3,1,0.6,4,0.4,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,0,0,0
155,155_ 104,N,0,IDFdk3,5,0.7,8,0.2,1,0.1,Fd - Feathermoss - Step moss,15,55000,3928.571429,1427.609566
139,139_ 105,S,1000,IDFdk3,1,0.9,4,0.1,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,0,0,0
205,205_ 106,N,2000,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,16000,2000,1210.076739
105,105_ 107,S,0,IDFdk3,8,0.6,7,0.2,1,0.2,SxwFd - Prickly rose - Sarsaparilla,21.9,11000,1833.333333,1447.219556
155,155_ 108,S,0,IDFdk3,8,0.8,1,0.2,NA,NA,SxwFd - Prickly rose - Sarsaparilla,21.9,55000,3928.571429,1427.609566
13,13_ 109,S,0,IDFdk3,1,0.6,4,0.4,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,3000,1000,577.3502692
105,105_ 110,S,0,IDFdk3,8,0.6,7,0.2,1,0.2,SxwFd - Prickly rose - Sarsaparilla,21.9,11000,1833.333333,1447.219556
206,206_ 111,S,1000,IDFdk3,1,0.8,8,0.2,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,35000,5833.333333,2427.847698
144,144_ 112,N,1000,IDFdk3,1,0.9,4,0.1,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,0,0,0
180,180_ 113,N,3000,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,62000,20666.66667,6984.108947
90,90_ 114,N,0,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,3000,3000,NA
160,160_ 115,N,0,IDFdk3,1,0.8,8,0.2,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,0,0,0
115,115_ 116,N,0,IDFdk3,5,0.7,8,0.2,1,0.1,Fd - Feathermoss - Step moss,15,60000,5000,2549.509757
185,185_ 117,S,0,IDFdk3,1,0.8,8,0.2,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,54000,6750,1687.665336
138,138_ 120,S,0,IDFdk3,1,0.9,4,0.1,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,0,0,0
188,188_ 121,S,0,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,1000,500,500
167,167_ 122,N,0,IDFdk3,5,1,NA,NA,NA,NA,Fd - Feathermoss - Step moss,15,0,0,0
76,76_ 123,N,0,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,68000,5230.769231,1925.383232
216,216_ 124,S,0,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,68000,7555.555556,3555.555556
176,176_ 125,S,0,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,25000,5000,2280.35085
95,95_ 126,S,0,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,1000,250,250
8,8_ 127,S,0,IDFdk3,1,0.6,4,0.4,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,3000,600,244.9489743
216,216_ 128,S,0,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,68000,7555.555556,3555.555556
202,202_ 129,S,0,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,93000,7750,3186.441446
31,31_ 130,S,1000,IDFdk3,1,0.6,4,0.4,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,5000,714.2857143,714.2857143
202,202_ 131,N,5000,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,93000,7750,3186.441446
115,115_ 132,S,0,IDFdk3,5,0.5,1,0.4,8,0.1,Fd - Feathermoss - Step moss,15,60000,5000,2549.509757
123,123_ 135,S,0,IDFdk3,1,0.6,2,0.2,4,0.2,FdPl - Pinegrass - Feathermoss,17.1,4000,1333.333333,666.6666667
76,76_ 136,S,0,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,68000,5230.769231,1925.383232
206,206_ 138,S,0,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,35000,5833.333333,2427.847698
31,31_ 139,S,0,IDFdk3,1,0.6,4,0.4,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,5000,714.2857143,714.2857143
211,211_ 141,S,0,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,62000,15500,4444.097209
185,185_ 142,S,0,IDFdk3,1,0.6,8,0.4,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,54000,6750,1687.665336
155,155_ 143,S,0,IDFdk3,8,0.8,1,0.2,NA,NA,SxwFd - Prickly rose - Sarsaparilla,21.9,55000,3928.571429,1427.609566
112,112_ 144,S,0,IDFdk3,1,0.8,8,0.2,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,9000,1800,800
150,150_ 145,S,0,IDFdk3,1,0.6,4,0.4,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,1000,500,500
188,188_ 146,S,1000,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,1000,500,500
17,17_ 147,S,0,IDFdk3,1,0.6,4,0.4,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,2000,285.7142857,184.4277784
151,151_ 149,S,0,IDFdk3,8,0.8,5,0.2,NA,NA,SxwFd - Prickly rose - Sarsaparilla,21.9,0,0,0
231,231_ 150,S,0,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,9000,4500,4500
115,115_ 152,S,0,IDFdk3,5,0.5,1,0.4,8,0.1,Fd - Feathermoss - Step moss,15,60000,5000,2549.509757
178,178_ 153,S,1000,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,11000,5500,4500
2,2_ 154,S,11000,IDFdk3,1,0.6,4,0.4,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,6000,545.4545455,247.2994638
20,20_ 155,S,10000,IDFdk3,1,0.6,4,0.4,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,3000,230.7692308,121.6260639
143,143_ 156,S,3000,IDFdk3,1,0.9,4,0.1,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,0,0,NA
216,216_ 157,S,6000,IDFdk3,1,1,NA,NA,NA,NA,FdPl - Pinegrass - Feathermoss,17.1,68000,7555.555556,3555.555556
