gap,Cutblock,Total trees per hectare ,Status 
10,,0,Not stocked
100,,1600,Not stocked
103,,333.3333,Not stocked
104,,3000,Stocked
105,214,1833.3333,Not stocked
106,214,5000,Stocked
107,208,0,Not stocked
108,208,3000,Stocked
109,231,0,Not stocked
11,234,0,Not stocked
111,231,5000,Stocked
112,209,1800,Not stocked
113,209,4000,Stocked
114,,0,Not stocked
115,204 / 209,5000,Stocked
117,204,0,Not stocked
118,209,2000,Not stocked
119,,250,Not stocked
12,236,0,Not stocked
121,,0,Not stocked
122,,0,Not stocked
123,,1333.3333,Not stocked
124,,500,Not stocked
125,,4000,Stocked
126,232 / 228,0,Not stocked
127,232 / 228,0,Not stocked
129,229,0,Not stocked
13,236,1000,Not stocked
131,233,0,Not stocked
132,233,0,Not stocked
133,206 / 230 / 233,666.6667,Not stocked
134,230 /233,428.5714,Not stocked
135,230 /233,0,Not stocked
136,206,0,Not stocked
137,230,0,Not stocked
138,206 /230,0,Not stocked
139,206 /230,0,Not stocked
14,234,0,Not stocked
140,230,1000,Not stocked
141,230,5000,Stocked
142,230,0,Not stocked
143,230,0,Not stocked
144,230,0,Not stocked
145,230,0,Not stocked
147,230,0,Not stocked
148,230,0,Not stocked
149,,0,Not stocked
150,,500,Not stocked
151,230,0,Not stocked
154,,1000,Not stocked
155,209,3928.5714,Stocked
156,209,1500,Not stocked
157,209,35500,Not stocked
160,209,0,Not stocked
161,,34000,Stocked
162,,3000,Stocked
163,209,2000,Not stocked
165,,0,Not stocked
167,,0,Not stocked
169,,0,Not stocked
17,,285.7143,Not stocked
170,,0,Not stocked
171,,0,Not stocked
172,223,0,Not stocked
173,223,2500,Stocked
174,223,1600,Not stocked
175,215,2769.2308,Stocked
176,218,5000,Stocked
177,,2333.3333,Not stocked
178,218,5500,Stocked
179,223,0,Not stocked
180,218,20666.6667,Stocked
182,223,0,Not stocked
183,,2000,Not stocked
184,218,3000,Stocked
185,219 / 223,6750,Stocked
187,223,1000,Not stocked
188,,500,Not stocked
189,218 / 233,17333.3333,Stocked
19,236,0,Not stocked
192,,57000,Stocked
193,219 / 223,6500,Stocked
194,215,1500,Not stocked
196,219 / 223,3142.8571,Stocked
197,218,4000,Stocked
199,219 / 223,2750,Stocked
2,235 / 236,545.4545,Not stocked
20,236,230.7692,Not stocked
200,219,6000,Stocked
201,219,9000,Stocked
202,219 / 223,7750,Stocked
203,219,5000,Stocked
204,219,5000,Stocked
205,219,2000,Not stocked
206,219,5833.3333,Stocked
208,,,Not stocked
209,219,6000,Stocked
21,236,1333.3333,Not stocked
210,218,16500,Stocked
211,219 / 223,15500,Stocked
213,219,1000,Not stocked
214,219,3000,Stocked
216,219,7555.5556,Stocked
217,219,1666.6667,Not stocked
218,219,1000,Not stocked
219,219,3000,Stocked
22,,0,Not stocked
220,219,4125,Stocked
223,219,2000,Not stocked
225,219,3000,Stocked
226,219,6000,Stocked
227,219,1000,Not stocked
228,219,3000,Stocked
229,219,2000,Not stocked
23,,0,Not stocked
230,219,2500,Stocked
231,219,4500,Stocked
232,219,10500,Stocked
233,219,0,Not stocked
235,219,3000,Stocked
236,219,333.3333,Not stocked
237,219,1000,Not stocked
238,219,0,Not stocked
239,219,1500,Not stocked
26,,0,Not stocked
28,,0,Not stocked
29,225,0,Not stocked
30,225,0,Not stocked
31,236,714.2857,Not stocked
33,225,0,Not stocked
34,225,0,Not stocked
35,,500,Not stocked
36,225,0,Not stocked
37,225,0,Not stocked
38,225,0,Not stocked
39,225,0,Not stocked
4,236,0,Not stocked
41,,142.8571,Not stocked
42,,0,Not stocked
43,,0,Not stocked
44,225,0,Not stocked
46,225,0,Not stocked
48,,3000,Stocked
49,225,0,Not stocked
5,236,1111.1111,Not stocked
51,,0,Not stocked
52,,1000,Not stocked
54,,500,Not stocked
55,,1000,Not stocked
57,,3181.8182,Stocked
58,,0,Not stocked
6,236,0,Not stocked
61,,333.3333,Not stocked
63,,1000,Not stocked
64,,0,Not stocked
65,,250,Not stocked
66,,0,Not stocked
67,,0,Not stocked
68,,0,Not stocked
7,,0,Not stocked
70,,4500,Stocked
71,,0,Not stocked
73,237,1000,Not stocked
75,203,2000,Not stocked
76,203,5230.7692,Stocked
77,,,Not stocked
8,236,600,Not stocked
81,237,0,Not stocked
83,203,48000,Stocked
84,203,2000,Not stocked
85,203 /226,9500,Stocked
87,203,1000,Not stocked
88,203/ 213/ 226,11250,Stocked
89,237,0,Not stocked
9,,1000,Not stocked
90,203 / 226,3000,Stocked
91,237,0,Not stocked
92,237,0,Not stocked
94,226,0,Not stocked
95,226,250,Not stocked
98,237,3200,Stocked
